OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
-,258,0,0,0,0,0,0,0,0,0
+,8811,8310,8937,1515,5502,9936,9069,1342,1229,6060
+,9733,986,3373,6381,589,9247,6974,8819,8141,1673
+,3174,8374,7537,6939,5332,1618,2244,9313,1391,289
+,4759,3947,3918,5863,8739,4097,6658,8536,9138,8588
+,6084,5233,6483,2982,7060,8762,4511,6028,9906,701
+,6940,3372,592,5018,6259,188,2028,493,9735,4952
+,169,5491,9520,8769,5378,6569,8161,2195,3568,4595
+,8105,3078,398,3248,3421,8296,1616,4874,2736,7688
+,7716,1792,9059,6148,6224,2678,2339,4085,7400,4361
-,39,0,0,0,0,0,0,0,0,0
+,4615,4424,8719,3374,5336,9959,5334,594,5114,8842
-,718,0,0,0,0,0,0,0,0,0
+,8890,2118,1467,7212,9678,6777,7574,91,9200,8718
+,7457,9353,7123,816,3179,8708,5173,4222,7575,3715
+,4769,3892,8913,3337,4132,2524,8625,7651,3634,1433
+,3766,8305,3041,493,8314,2624,5681,1177,3157,3893
+,9169,5613,4147,7547,9656,9318,4525,4282,8647,3283
+,6387,8976,7125,9359,100,185,6522,7492,8685,506
+,9979,7680,9941,3387,985,3231,1784,3865,488,9680
+,8820,7722,3934,6183,7754,1529,9022,3360,1691,4767
+,5546,4412,966,6066,9618,2843,6990,6841,6971,5665
+,3142,918,4588,8652,8104,1939,1046,8080,7103,5183
+,7756,9446,3150,4069,8746,9869,4230,2849,8982,765
+,2062,4397,3771,5973,8959,7782,6613,4815,142,2393
+,46,4893,6907,9806,9088,4515,8474,8147,1869,5058
+,2156,3417,9242,3710,8982,3734,513,5013,6359,528
+,6888,9698,1205,1587,9067,1756,9748,1287,6964,4051
+,3813,7353,526,2821,4770,1841,8643,2724,7923,4833
-,734,0,0,0,0,0,0,0,0,0
+,5562,8880,6055,6690,3738,5725,2236,7665,3618,3851
+,3167,5473,8889,2027,3008,9164,2137,1102,6067,2699
+,50,8468,357,8801,6674,1232,4956,8598,4462,1230
+,5803,5582,6308,9948,4049,4180,9499,8689,8480,3886
+,1626,7324,5724,3,4940,1431,2162,1598,954,1105
+,2276,846,5295,8191,1938,4785,4017,9523,7434,8758
+,8882,1471,7196,5945,9475,4522,7733,9491,774,6526
+,7286,413,3046,1981,9286,4526,2773,1631,7828,8747
+,6625,8170,2886,6756,2597,2477,3741,6940,5001,6988
+,5141,717,5312,1671,6220,6459,303,2029,5862,5109
+,3902,9559,7154,8342,1615,3870,6349,754,4279,6842
+,5800,8317,8356,88,5605,2854,4819,527,4721,5359
+,165,4702,368,889,397,9523,8913,330,5212,5415
+,5155,2389,4754,1294,8239,1696,1488,2178,4263,524
+,5322,3260,7067,7446,3163,3928,2622,3818,4864,7124
+,8334,7779,3339,324,8803,8014,8637,7946,9916,1579
+,5908,7624,1762,7415,8627,4379,2186,2291,4455,1515
+,2813,7702,4462,9751,3578,1477,436,9295,4811,5359
+,4623,1181,3095,5313,9644,1090,1414,6240,8167,4390
+,4049,9123,3362,9038,7036,1411,6257,7446,3815,8918
+,1584,1748,919,740,8891,283,7389,8708,5647,7710
+,4276,5978,776,1271,5891,7675,3957,3559,1068,4236
+,9916,3470,7567,5674,731,2937,786,4820,7737,4449
+,4666,1167,9839,1019,4816,7601,6371,2678,2756,8681
+,3527,8971,3923,5468,3579,2771,9298,2143,8554,8971
+,3374,2940,2933,6336,4980,8187,8370,5003,4101,4305
+,7096,8938,5460,570,1803,6371,7548,9301,9353,3441
+,4686,6950,9175,9484,8609,9505,1330,4090,2853,3775
+,2892,705,3231,2224,7857,8330,4594,7746,6489,6385
+,904,9070,9936,8616,9065,5979,6805,7607,4662,8108
+,869,5341,8144,9690,6571,4731,3513,585,2836,9323
+,2522,3661,4211,5456,7953,2938,1981,5785,9287,5442
+,1490,8679,8575,7875,453,8647,6261,9148,2995,8984
+,6829,9987,1372,1809,1201,186,9762,7327,3434,3473
+,9062,3307,7093,8562,3896,6002,3084,341,4938,283
+,4722,3500,6778,3895,8356,3563,9165,9238,8150,6601
+,612,4342,8009,6097,6849,6394,452,8853,6958,3937
+,3262,8169,9358,8721,5556,5764,4991,1783,7869,430
+,1920,2624,4043,8115,4165,9592,2647,6441,119,6188
+,536,9089,8468,2439,1737,8752,1910,4476,3513,2623
+,9886,1236,2880,8435,7634,1409,8042,5244,6044,1388
+,8077,8477,9211,157,7540,6477,8668,4725,6177,9912
+,108,7384,3796,9434,3254,7376,6308,1389,2819,1118
+,8977,1280,4357,9610,1453,8865,5772,4176,2965,3749
+,5045,4442,8944,5144,8712,9702,9079,7437,6917,7146
+,7150,9339,3943,1283,5979,3289,4564,4202,5286,1612
+,7225,4084,9067,8524,2875,9707,5310,606,7193,1043
+,9709,132,913,1353,205,2783,5380,3780,7391,5853
+,6655,9805,210,966,8128,2346,2284,3564,2479,2464
+,5385,4853,9797,3674,2832,1135,3101,449,7171,7034
+,1385,253,7779,6973,2414,3755,6841,8828,2656,393
+,9374,5034,1306,7245,6655,1913,8303,3862,648,13
+,6574,6758,4045,1459,5536,2870,6177,44,2462,8119
+,1211,3922,6458,9155,9975,7257,1999,7800,1338,65
+,5217,368,212,2066,7811,1411,2342,5607,3121,6419
+,1229,6385,3549,1006,910,1161,2951,6685,7618,3866
+,9249,4641,7563,579,77,8751,4549,8092,7976,8625
+,4482,5354,3446,163,6482,39,1363,9362,6911,4462
+,8577,6547,6144,6287,2404,5134,2493,8787,8243,6590
+,54,8895,769,7485,5452,2845,4121,315,1014,7597
+,3324,2420,6604,3488,1197,642,8931,4677,2699,8970
+,44,547,2309,1915,8354,4496,1056,4945,5786,8817
+,1957,6189,9262,9940,2197,1806,7758,5203,1090,8336
+,32,2344,3643,9879,8795,963,8609,4307,9333,6763
+,8823,4960,1107,8714,5487,4079,5221,114,8924,4261
+,7290,9853,2628,3561,4502,134,9977,5033,3031,6046
+,7807,1712,4319,2308,9442,6654,7379,7604,4077,9699
+,3173,5640,214,456,4202,738,3641,6256,9721,3994
-,260,0,0,0,0,0,0,0,0,0
+,7794,9929,283,3782,398,7743,1017,5312,3375,6546
+,4312,1631,6079,4244,3401,2234,4753,8312,9553,6688
+,2804,2482,8978,9618,1481,9483,1820,9976,7080,6572
+,2958,9431,8379,4533,7643,7897,6547,7638,7361,384
+,1661,6029,3932,8932,9141,7439,9402,4759,4047,221
+,7151,5138,7584,5198,2599,4888,7263,48,6638,4676
+,9125,6589,2009,3724,754,1747,7347,3612,1138,1811
+,637,8022,7105,4068,8277,812,9596,92,963,8737
+,7652,9575,3736,6777,5478,7076,6807,8464,1142,1559
+,1874,2614,1942,3963,7478,6772,9024,7955,1636,1621
+,7206,8554,6764,5334,1625,4918,6909,2755,2097,9659
-,547,0,0,0,0,0,0,0,0,0
+,8117,798,1874,3132,7045,4706,5253,7617,8777,9290
+,6663,3917,2836,1231,7316,6104,6637,3478,8492,9191
+,5892,2215,1265,6987,5490,1063,747,1048,6565,7277
+,330,5023,3494,4929,2918,500,9847,7440,9783,8290
+,6772,2340,1538,6317,2621,9720,1995,86,867,2133
+,2245,542,9467,4618,4401,9955,7207,7984,4684,9589
+,5419,111,3963,704,1077,693,8368,6466,7317,6844
+,5956,5913,997,3534,3793,5438,4678,9382,8103,1556
+,9315,4558,4589,8180,8828,7348,7747,1894,6091,3190
+,9283,8077,349,9559,2539,3172,7802,3053,988,2003
+,4870,2319,5716,5266,7534,6887,5281,3562,3420,8853
+,6801,8020,9199,2960,3213,2479,7844,6428,1578,4505
+,8330,5602,3326,4722,5277,8019,4444,8537,1694,4296
+,1009,3829,1303,9065,1161,9707,8927,5746,8272,5322
+,7972,6186,1458,1816,1719,8270,875,6861,5903,7223
+,4935,8911,1282,1381,1474,6062,4739,7073,3402,8090
+,5360,8551,8615,1170,8794,6042,8869,1726,6317,1991
+,2539,7715,3848,6381,2605,4748,7197,4428,6468,4499
-,91,0,0,0,0,0,0,0,0,0
+,9895,8317,2609,3767,4713,1320,4201,5397,3742,9460
+,181,6629,9773,3291,8623,5333,9573,5088,4214,7149
+,9338,3219,914,1157,1335,5251,36,2171,8260,3042
-,219,0,0,0,0,0,0,0,0,0
+,1510,9260,8156,201,621,8138,4077,4465,6553,9393
+,8380,7918,1282,3403,2237,4308,7619,6637,9655,8358
+,5891,5682,3388,8771,7265,9640,5960,540,5599,73
+,6660,5520,2459,1060,5914,4107,2884,381,2030,6080
+,4062,635,792,4719,3928,3017,7978,9847,1749,7680
+,3924,3717,6641,5656,972,9846,8714,235,4900,3165
+,5694,4036,7604,6077,6581,9550,6010,9746,9296,5753
+,8318,8398,7645,5691,4382,9657,8760,9675,1066,4226
-,496,0,0,0,0,0,0,0,0,0
+,5862,2682,5402,14,3876,3064,9137,1009,9761,7379
+,3946,6291,4013,5384,6878,5616,6470,6239,4156,5559
+,6307,616,8038,5825,4974,9953,4065,135,2904,105
+,9961,2553,5119,4878,4805,3992,1127,872,5472,814
+,4606,8312,7891,2595,3589,9536,5673,2131,805,4898
+,3040,3611,2097,3195,5009,2152,7930,319,4638,7069
+,5581,8592,1957,7155,1182,7366,1909,2796,1818,2033
+,6768,6199,2184,1353,2665,7321,1172,5052,6652,7175
+,7467,1741,8948,7145,7926,7176,8410,6235,5091,915
+,197,752,1946,5914,8704,4900,7298,1803,537,8918
+,9197,4015,3349,8928,328,3044,5983,8816,7616,5051
+,5918,6045,6301,4818,3961,7851,1638,4966,4322,4271
+,9859,8083,2283,8213,3632,4829,1661,8895,1304,2426
+,4804,8593,1682,1120,7673,6257,5968,5556,3618,7573
+,6679,2095,8350,3080,3232,966,4523,1926,756,9484
+,3397,4465,1192,6073,4950,5840,7006,2331,8112,3796
+,1995,6536,3451,6073,7741,1025,3248,7537,4495,1233
+,5631,2319,3165,9799,5397,9550,9969,6194,662,8498
+,8651,4427,6282,2542,4851,2083,2246,3207,9538,1560
+,1844,2027,5634,3718,736,7577,8750,2764,7525,5780
+,5273,3655,5597,4760,9815,8914,2594,1297,8620,2260
+,3005,2310,6520,7146,6958,2519,9380,2805,8133,1805
+,8014,4845,2481,5699,5240,9501,1787,4914,4942,8702
+,2061,4389,8717,8061,7349,3993,7471,5209,3638,3391
+,3838,543,8102,9168,4225,7901,5699,5460,9875,3840
+,4596,7427,4240,5814,7139,259,7559,6439,1529,4316
+,1503,8439,2652,4867,8328,5599,6834,2571,8831,2019
+,4937,2274,5049,8896,491,1563,8954,7076,361,5573
+,3591,6687,559,5691,3323,4849,9877,2460,4815,7586
+,1487,2481,3037,4433,9804,5643,7086,6877,7827,8725
+,9248,4261,9101,4984,3783,5679,8505,1521,8287,8281
+,9772,202,9911,7089,2119,4803,3257,322,5504,9907
+,1680,4988,3885,747,3526,2175,4051,9428,5147,1938
+,3248,1867,8576,5437,3717,8763,5339,9835,7084,4188
+,5184,6164,1683,3775,3105,6454,5078,5546,7491,5385
+,1218,5646,9932,8922,1494,7782,6810,1592,1529,796
+,5376,4918,2732,4535,6681,9941,9013,3763,709,4948
+,139,6933,3970,4444,3965,796,6951,4835,4864,1259
+,8116,5970,6511,6633,2731,4428,4832,1595,2346,5230
+,2911,7495,4497,2206,5310,9911,1411,6038,6367,3177
+,3058,8014,6936,2745,9362,8660,4727,5168,6981,5672
-,188,0,0,0,0,0,0,0,0,0
-,411,0,0,0,0,0,0,0,0,0
+,3203,2455,2802,5670,3711,3696,5600,7446,2766,217
+,9204,2683,2224,3400,2361,7989,3604,5044,580,3741
+,5883,6565,3298,732,1890,4705,9552,819,572,6180
+,5264,2852,4497,6588,1410,9024,4687,4603,7630,9293
+,8159,3956,2302,8003,4633,8040,7439,1134,3549,1378
-,575,0,0,0,0,0,0,0,0,0
+,2884,4866,1446,3129,8030,6346,590,425,6992,7075
+,3627,2303,5288,484,7826,4048,5288,5445,7281,3365
+,3105,7528,1323,6854,8379,9992,9570,4565,708,6040
+,2271,9710,6498,758,4957,739,6009,4639,328,783
+,584,9377,2081,3161,4906,9051,8282,7137,4324,5768
+,332,222,2229,377,7784,9972,9428,6604,3576,1873
+,8008,670,3799,703,670,1206,5306,7982,3016,3984
+,1797,3503,8503,1261,65,4615,9695,5829,7099,4980
+,6737,280,8922,9511,4722,4690,9599,9611,5186,6006
+,7900,9624,639,2706,2399,127,7956,545,9720,9683
+,1126,3379,8181,8122,3997,3623,356,9403,3221,5664
-,851,0,0,0,0,0,0,0,0,0
+,8234,60,3100,2581,717,2848,7339,5845,9312,3167
+,353,9074,4606,6248,2315,4345,5527,288,5717,1014
+,2284,4779,2525,1670,4856,6685,5668,5365,2187,6123
+,3008,943,5656,971,7267,3908,7975,7625,5328,6134
+,1480,2557,5043,6129,3580,1154,534,3639,8979,5105
+,3526,6052,428,7027,6967,3196,2484,4828,8374,9264
+,7762,7702,7628,4644,6388,9592,6625,4808,5972,7521
+,744,4493,7030,5508,5652,4727,247,5798,156,802
+,3110,3785,1651,6056,4865,9968,9504,9687,4557,2246
+,5696,3879,6304,2404,6541,8569,7453,5012,5169,4650
+,9672,3591,4813,7703,227,6776,5155,4320,4660,5462
+,3892,2337,6530,6742,5687,2577,7232,1016,702,3769
+,2232,5053,1126,979,9568,2664,9208,6245,314,2689
+,6532,9291,3826,7173,4846,1586,9851,9224,7405,7167
+,7385,8347,1867,2720,9326,939,2901,39,8216,5993
+,9623,6410,624,1053,3953,3361,2557,3855,1009,4135
+,1964,3235,6811,7657,6577,2240,2876,4703,4391,4068
-,779,0,0,0,0,0,0,0,0,0
+,4027,1539,9874,3230,8095,1313,2390,3343,2832,2947
-,606,0,0,0,0,0,0,0,0,0
+,7295,4492,2363,5662,3042,7467,7480,4002,72,9749
+,7514,1648,5391,6957,5180,3497,1219,8379,9792,1186
-,860,0,0,0,0,0,0,0,0,0
+,6403,1577,537,4280,4095,7046,1112,163,645,277
+,6316,7927,7330,8404,5467,8779,7709,1412,531,5649
+,8944,614,674,3219,1533,4891,4339,8226,4644,9268
+,822,5511,9247,7807,7760,7375,6336,837,9802,1123
+,6871,1927,2514,6857,6129,6436,7115,7525,8534,2396
+,3063,943,8458,9597,2838,3124,3399,5602,5189,5958
+,6518,7744,7018,9851,2740,7413,5288,2749,6717,4699
+,972,6003,4407,7422,7819,376,5744,3790,8849,699
+,7055,6702,4704,2159,9842,2313,3493,3370,4612,4093
+,8607,4141,3163,711,6958,3275,837,5156,8791,4290
+,110,5498,5717,7222,9397,5691,4596,6892,7010,6280
+,5801,2917,6073,5722,7698,1969,2720,896,5528,4150
+,5828,3177,8743,6083,378,5261,8294,1255,3740,9687
+,1571,351,422,5148,7783,1700,5089,8620,140,9655
-,394,0,0,0,0,0,0,0,0,0
+,3940,8788,2141,145,893,253,2496,3178,1655,392
+,8294,1978,6256,3011,1611,3569,2965,2694,5430,2027
+,5610,2432,4945,9916,3340,7010,2,8798,1402,3456
+,1092,7367,2211,7225,6281,6426,95,6285,6877,2771
+,4331,8848,8183,4991,270,3114,4198,1929,2312,5652
+,466,3169,6558,2909,5459,3024,5485,9417,74,7758
+,4218,7600,9348,4995,6662,9703,9290,4474,1322,9806
-,289,0,0,0,0,0,0,0,0,0
+,2448,5537,3945,6223,8739,6282,7083,4378,1519,4836
+,767,5366,6311,3051,3330,3178,2549,5919,3170,6252
+,9313,8926,857,9159,6612,1966,2767,6327,256,5192
+,4617,6145,3552,6244,3054,5885,3942,1480,5031,9069
+,843,614,473,2980,5227,770,7171,1549,8876,1578
+,8165,2545,5168,2314,6702,6321,110,6703,7023,8404
+,5576,3309,9057,7745,7612,9984,1297,723,3797,5419
+,8407,7418,9987,2058,153,3964,7934,2466,9467,655
+,9512,2077,4656,4212,7141,2894,8241,3877,3895,4956
+,754,9478,9736,4644,5083,9892,9919,6140,634,9631
+,2483,8981,7465,3695,5497,3902,8637,9263,2749,9868
+,3737,8438,4784,1152,4884,7038,9425,2652,6554,1316
+,5523,6487,4134,6863,8793,8294,7486,8193,8242,9782
+,1728,6199,1650,1639,2919,8893,548,855,4918,3155
+,3501,7900,961,1822,2062,1436,997,764,6882,6407
+,8719,2787,9867,9493,8743,7266,1192,4935,3642,8100
+,528,661,9372,7371,7593,2123,9826,6691,2738,5195
+,820,1472,1363,7752,1553,6308,4037,5532,9177,9132
+,3215,6073,8253,8112,9288,1726,7912,181,9491,783
+,5280,1573,9864,3671,8845,9694,4097,5234,1371,3184
+,6392,4489,4373,4150,2005,595,1518,7826,1075,5919
+,5221,3839,5768,6960,5214,9525,2296,5701,8772,8712
+,655,6580,9113,2294,9375,6664,4742,7419,7034,1843
+,1308,217,4827,6673,5987,3856,3745,4063,8654,1001
+,819,999,4349,2734,4386,5254,1108,780,6407,7885
+,6499,1152,2360,3925,3337,3354,9345,145,2641,1239
+,2667,4593,3813,1853,9361,8349,5153,2453,1750,308
+,4444,7533,9885,1150,6572,4724,4204,4098,2520,7031
+,5103,5021,449,8287,5146,6604,2993,7546,2905,9973
+,7080,491,5381,1939,2560,2942,1215,5323,9197,8935
+,703,5634,7114,4621,7417,3082,4817,7195,4231,8289
+,7032,3112,1746,2676,7135,351,9381,7798,7334,429
+,4756,3765,6956,8284,1024,6638,7461,842,3879,4845
-,427,0,0,0,0,0,0,0,0,0
+,8790,7719,1327,789,5591,4106,1068,5827,807,3714
+,3288,3868,9933,3767,9570,8849,4346,5924,1970,750
+,609,7072,914,1070,9576,1879,7259,3198,5273,6576
-,295,0,0,0,0,0,0,0,0,0
+,4258,9886,7540,7946,1585,4879,3790,8642,9819,3436
+,4435,5048,5222,3246,8586,8308,8771,6193,1880,9324
+,1681,1380,3083,4806,2723,8949,1152,8655,6633,9646
+,1007,7885,5514,8934,5822,4495,7895,3432,3805,4347
+,3711,7812,5812,223,1219,848,3920,683,110,8283
+,9600,6955,8099,1852,9346,8149,4189,9834,9642,2818
+,8859,6218,4090,3622,234,2935,2864,6085,969,5309
+,1509,9494,5684,9337,1361,6711,224,5646,9652,8658
+,6697,6648,7485,8985,9439,9786,5106,978,4901,8885
+,953,1362,7212,6577,9965,4537,1145,5300,1296,8828
+,7260,121,4941,6689,5918,825,439,162,6665,819
+,8824,7381,4746,7909,8041,9534,9568,7650,1779,5396
+,8929,876,9960,5557,280,5843,9204,2667,257,5584
+,8172,6967,8550,435,5340,144,5868,923,4741,5606
+,2193,1913,2733,3758,1662,2182,4290,1068,7260,5867
+,301,511,7500,8673,8324,5806,7421,1047,3508,3261
+,2012,7737,8074,5697,7218,9250,4680,3746,7414,7270
+,5847,3246,4452,4701,9313,7222,2664,3826,8344,3689
-,691,0,0,0,0,0,0,0,0,0
+,5878,3277,7998,4884,6678,9193,4733,5587,561,2031
-,588,0,0,0,0,0,0,0,0,0
+,763,3179,8012,2578,1642,5101,3999,5697,3428,9964
+,4454,7764,993,3472,2682,3517,9394,6374,9962,9725
+,1691,1621,1549,4100,246,6686,7529,3500,4228,8779
+,262,8867,4067,3059,9521,5861,5525,5520,6402,4837
+,4531,2439,9016,4985,6229,8035,3236,5763,2650,5171
+,7340,9013,2496,3109,5503,4088,3385,1771,2429,8580
+,6000,6181,2466,808,328,4015,9370,3723,7197,5788
-,385,0,0,0,0,0,0,0,0,0
+,6351,8079,5224,35,5975,4108,8246,7366,2762,8006
+,2737,9677,9176,9740,8603,302,5031,3055,7731,8400
+,3148,983,3520,617,9201,1988,323,8035,5721,37
+,1401,3348,4270,9272,6227,392,9940,8246,2185,4506
+,4948,983,8127,6492,9513,8342,1996,527,5308,3279
+,6467,4089,3909,5075,397,3029,514,1659,4286,4003
+,9141,782,8691,5275,6951,7997,5057,8477,7678,6620
+,3656,860,8884,3820,2632,2125,3328,4809,1513,4117
+,8121,5706,8680,2121,314,4041,4828,3088,3344,5659
+,4540,9324,9911,1000,5627,3919,8094,6808,3451,7651
+,3609,4668,9550,2686,3048,6185,878,16,6304,5701
+,1581,5468,4248,6150,4001,6411,8459,8453,4125,8975
+,6777,1737,3302,4789,9918,1777,4308,7081,951,1932
+,2932,2071,5115,6445,7010,7652,2571,8046,5503,3015
+,9263,6539,1189,6447,2422,8935,6505,4591,6204,3718
+,8665,8210,5197,4792,1248,7423,7399,9950,6636,9378
+,9531,3325,1801,1268,2636,4214,5458,4185,4533,5090
+,30,4172,4795,2862,1451,5572,3584,8985,4913,1197
+,1086,464,8037,1613,5908,3598,1431,1451,8954,9916
-,220,0,0,0,0,0,0,0,0,0
-,668,0,0,0,0,0,0,0,0,0
+,3271,4022,1341,8657,3707,292,2151,6877,6388,3710
+,9200,5277,4657,4090,4457,6110,4350,3486,3055,250
+,6335,5915,9172,4791,9735,3962,3638,1320,2383,7008
+,6541,4936,9013,907,4112,3069,5753,3195,1423,5037
-,192,0,0,0,0,0,0,0,0,0
+,6194,7562,109,142,4291,1673,168,5129,4660,4814
+,8956,6493,6432,3425,8284,6736,487,529,4586,1943
+,2967,9931,3,7443,5103,3667,8020,680,7546,420
+,9065,2032,4595,8319,2535,7314,6500,6335,9374,9197
+,7869,1376,1342,3497,5982,6577,187,4800,2176,570
+,8137,6852,207,6186,4635,6914,5384,6511,3893,7599
+,2011,7814,7035,2397,2801,7229,2587,2809,4072,5401
+,1986,8360,789,1985,5791,6735,2465,2899,8998,3334
+,7149,4307,1126,6339,6748,3320,2393,3967,5087,1277
+,5440,5598,4081,1724,9204,918,3350,6301,7593,4122
+,4182,4611,6576,3590,9810,2277,6478,651,7512,9708
+,8655,5379,1815,9647,1312,6598,3141,5839,8386,228
-,690,0,0,0,0,0,0,0,0,0
+,8325,7006,9591,1772,5148,6158,1277,1859,4347,8480
+,3562,8579,7065,995,4219,2671,8046,8799,4322,6885
+,4876,2639,1509,4322,3825,574,3949,4583,4660,102
+,557,1884,1666,1248,9675,486,2353,5478,5277,3515
+,9715,2124,7400,99,5834,4346,545,1596,5624,3794
+,8393,3881,5243,724,9307,2231,7624,9431,291,5621
+,1290,3534,7786,9452,8327,6359,4157,503,40,9904
+,6254,914,3535,3749,3952,9277,4762,4511,3202,4713
+,3772,4814,6761,6416,1228,6575,1850,8786,2155,8538
+,9948,3444,3519,3032,7881,2141,7297,6811,1852,1798
+,2240,4976,1011,1705,9716,9013,2682,109,1992,8199
+,882,4905,902,5185,4722,7138,7620,4051,7910,186
+,5323,1683,294,6950,2044,6929,8244,667,9480,329
+,6308,8190,3924,6830,3785,8246,9129,337,7705,7657
+,5413,6967,7203,1514,7103,9429,1516,5008,8882,2432
+,8540,9314,2775,1413,9886,3151,6818,8312,7722,1934
+,3814,8515,1002,2117,765,7197,9786,6289,4510,5519
+,5003,4636,4151,6769,4194,7038,731,7847,9746,4166
+,4289,8131,139,8869,6014,9337,5586,5467,3559,3485
+,6621,1539,3250,9413,5440,8819,3738,7400,7153,6820
+,2144,9794,3829,5325,8717,2146,7170,9067,7216,8964
+,1088,633,3977,7367,6805,5557,6515,6329,5460,5740
+,5864,1188,6832,7761,6090,7589,2035,7438,8348,7742
+,8937,8908,5834,4439,1477,3628,1887,5629,2921,5271
+,1141,31,4172,3414,5105,7359,4351,5938,7152,5761
+,492,1220,7802,9847,8294,3126,1294,4692,3671,3320
+,4520,386,1648,4372,2344,200,3695,8000,1804,9162
+,6553,6978,4623,3592,9050,1289,9549,3129,3460,5089
+,136,3363,1144,884,5767,4723,8905,7399,6231,4537
-,223,0,0,0,0,0,0,0,0,0
+,8268,9829,7765,3305,382,5000,113,3005,4388,59
-,472,0,0,0,0,0,0,0,0,0
+,3907,9993,7272,2739,8063,75,5466,6801,5200,5482
+,238,6429,1726,1061,3903,9124,3396,5838,6887,6578
+,4996,4079,8818,9369,6448,5240,7232,9303,8985,8482
+,1102,3223,5234,7265,3224,640,2678,5530,3068,248
+,8705,2201,2310,1241,4828,3912,1238,1704,8491,4329
+,3855,4839,6837,7704,2177,1156,6289,6801,8335,586
+,984,5073,386,3758,9672,5994,8160,1095,6959,8895
+,6860,4713,647,7810,3588,8292,2537,4908,6416,2537
+,3264,9190,7427,7634,6301,7554,3217,4897,8,9789
+,4992,6778,2644,6182,560,1321,3495,1772,5999,8558
+,968,735,8611,6298,6224,8852,1136,5379,2217,8355
+,2351,2656,3488,7940,4272,1611,6178,5544,1857,1019
+,2853,1448,3854,9045,2667,1029,1860,5969,3248,2983
+,4201,6418,3000,4306,6255,1640,1574,6203,4382,8877
+,130,4154,4372,3893,4087,8350,6971,6407,660,7940
+,5935,7591,2886,1477,9156,2289,2387,9403,2442,9239
+,2146,3686,753,7292,1475,2695,8702,6974,7181,6946
+,313,2947,5148,6676,2171,3566,3690,8725,7747,2875
+,4037,790,7340,8928,1168,9850,7726,1972,6620,3920
+,4424,2415,5739,2947,9998,2335,6355,9910,2500,2387
+,4993,9962,4866,8654,9157,9000,9281,5385,9157,7321
+,8398,8895,4618,1247,8968,1436,1599,1982,1554,4174
+,7103,302,525,4864,1572,2392,770,7774,8104,1401
+,2057,9872,6965,3706,7310,4773,1554,3649,2591,1225
+,3194,2798,9251,8031,8593,1007,7623,5760,7378,4810
+,1237,6358,7542,4189,8043,9694,6748,807,5983,8640
+,6489,5095,6356,5794,8828,834,9494,2104,6739,8511
+,7877,9458,1631,5696,3288,5323,2457,4563,1037,9326
+,7607,257,2477,5272,1258,9796,2598,9208,2858,9018
+,4654,8289,2847,1716,421,4231,8028,6607,3193,9638
+,9301,9599,7527,4343,4517,5811,4795,430,9977,5015
+,9588,2269,3109,2949,8072,3938,4100,9160,3901,8835
+,2440,8087,2729,4867,1888,5905,4342,1958,352,5118
+,2273,9113,1914,7776,6633,2488,3958,6732,7772,9028
+,5403,7256,4239,6170,5971,8487,4160,1913,5964,3753
+,8654,9133,2348,9192,3114,3365,4577,9102,7299,3963
+,255,8911,4795,8524,9222,6638,5358,70,5942,1951
+,1646,8281,9469,4733,7525,5605,5115,3159,5821,1447
+,778,8235,8823,3056,3895,8152,4821,2246,3963,6898
+,8192,672,9188,6989,3742,1508,5712,3169,8902,6703
-,539,0,0,0,0,0,0,0,0,0
+,3601,1099,6751,3997,2089,7212,2818,5124,5007,1972
+,1754,1322,9295,5160,9956,8590,9714,1172,3917,4548
+,5604,1775,5170,5822,6341,158,3042,6117,8970,9226
+,2777,5363,1806,9543,2555,3549,9892,1423,3323,402
+,6803,8038,8000,5,3143,5686,3399,6351,9645,2240
+,8474,9591,9973,854,1960,5942,8940,7456,8612,4298
+,3140,324,6754,1965,2266,760,9020,6129,4994,3233
+,222,4195,5437,817,5909,8194,504,33,4839,9816
+,9851,5513,639,1688,16,1770,6715,9835,9367,5975
+,5455,9275,6879,653,3386,6131,7506,9406,9620,4559
+,4794,4625,7813,1163,4168,6937,106,883,9325,8679
+,3479,7249,4508,7382,3358,2917,697,4050,3321,1755
+,4704,4188,5790,1636,4703,9194,6211,5132,7946,4118
+,7569,6729,4362,4079,9882,5278,3417,2802,1510,5943
+,3171,7301,8534,5996,8312,7581,5320,2114,8638,8948
+,3114,4419,891,4459,3229,9969,6445,1044,3185,8499
+,917,5120,4907,4114,8640,2451,6410,7803,6987,5435
+,2682,8616,9147,1337,4707,1889,3844,6505,5690,3571
+,4760,9063,7254,9065,5215,337,3865,2216,8589,7581
+,2679,5182,9919,4638,843,8154,5045,2527,1017,19
+,9915,3000,7782,5827,9882,2682,3989,431,3454,7131
-,51,0,0,0,0,0,0,0,0,0
+,3155,481,8112,6079,3611,7058,6504,524,7031,6126
+,4914,9087,4780,2337,2361,5134,1106,4893,8500,5954
+,9645,6071,5356,6844,6288,9895,9445,4106,6308,2732
+,2134,7068,4930,1844,134,2746,916,8601,3118,2168
+,2290,4978,6092,8733,59,8228,3983,4766,6329,7564
+,4972,6907,3540,15,9093,5017,5735,707,435,3687
+,9569,2899,5186,4095,149,7496,6421,1520,7939,2911
+,5811,8128,8755,4378,7388,8714,6790,1723,9736,9038
+,8798,6220,1661,5684,8159,655,4186,1928,8978,4237
